UNIVERSIDAD DE GUAYAQUIL;;;;
INCUBADORA DE EMPRESAS INNOVUG;;;;
CRITERIOS DE EVALUACIÓN DE IDEAS DE NEGOCIOS INNOVUG;;;;
EVALUACIÓN DE IDEAS DE NEGOCIO;Valoración;;;
CRITERIOS ;INICIAL 2;EN DESARROLLO 5;DESARROLLADO  8;EXCELENCIA  10
Problema / Solución: ¿Cuál es el problema que se ha identificado? ¿Cuál es la propuesta de valor de la idea de negocio? ¿Es el producto o servicio la solución al problema?;;;;
Mercado: ¿Hay un mercado identificado y con potencial? ¿Existe el mercado o es nuevo? ¿Qué barreras de entrada existen? ¿Es un mercado maduro? ¿Qué tamaño tiene el mercado?;;;;
Competencia: ¿Quiénes son mis competidores? ¿Qué barreras de entrada tiene el negocio? ¿Cuáles son las barreras de entrada que la idea de negocio presenta al resto de idea de negocios?;;;;
Modelo de negocio: ¿está definido cómo va a generar valor y ganar dinero la idea de negocio? ¿es viable económicamente?;;;;
Escalabilidad: ¿es un negocio que crece con personas o con tecnología? ¿la tecnología ayuda a que se pueda hacer crecer el negocio sin que crezcan los recursos humanos en la misma cantidad? ;;;;
Equipo: ¿quién está detrás del negocio? ¿quiénes son los socios fundadores? ¿de dónde vienen? ¿qué perfiles tienen? ¿qué formación tienen? ¿qué roles tienen en la empresa?;;;;
Tecnología: si es una idea de negocio que se apoya en tecnología, ¿la tecnología se desarrolla dentro del equipo o se ha subcontratado?;;;;
PUNTAJE FINAL;;;;
;;;;
;;;;
